key	name	item	brand	category	description
1	pansy	perfume	lush	cosmetics	liquid perfume
2	montalbano	shampoo	lush	cosmetics	solid shampoo
3	garlic	garlic.	.	vegetables	
4	red plum	plum	.	fruit	.
5	dried dates	dates	.	dried fruit	.
6	banana	banana	.	fruit	.
7	corail	lentils	.	legume	.
8	chickpeas	chickpeas	.	legume	.
9	peanut butter	peanut butter	.	nut butter	.
10	kale	kale	.	vegetable	.
11	red cabbage	cabbage	.	vegetable	.
12	chinese cabbage	cabbage	.	vegetable	.
13	red radish	radish	.	vegetable	.
14	wallnut	wallnut	.	nut	.
15	carrot	carrot	.	vegetable	.
16	potato	potato	.	vegetable	.
17	grappe	tomato	.	vegetable	.
18	apple	apple	.	fruit	.
19	cara pils	beer	cara pils	alcohol	lagger 4.4per
20	everyday	oatmeal	everyday	grain	
21	soymilk unsweeten	soy milk	sojadrink	plant-based drink	
22	zucchini	zucchini	.	vegetable	
23	alcohol vinager	vinager	azijn	vinager	
24	paris	mushrooms	.	mushrooms	
25	mixed greens	salad	.	vegetables	
26	avocado	avocado	.	vegetables	
27	brocoli	brocoli	.	vegetables	
28	spinach	spinach	.	vegetables	
29	mixed berries	mixed berries	.	fruit	
